customer_id,first_name,last_name,email,signup_date,country
CUST00001,Chase,Rodriguez,christinedominguez@allen-marshall.com,2023-02-02,Malta
CUST00002,Amber,Burke,angelica59@gmail.com,2021-08-15,Jamaica
CUST00003,Todd,Chaney,kellygood@gregory-hicks.com,2023-12-15,Marshall Islands
CUST00004,Todd,Parsons,stewartalicia@perkins.com,2023-03-29,France
CUST00005,Julie,Dennis,leemitchell@yahoo.com,2021-03-15,Cameroon
CUST00006,Sergio,Burgess,thomas70@hotmail.com,2021-12-26,Uruguay
CUST00007,Megan,Fritz,hdelgado@kelley.com,2023-01-01,Panama
CUST00008,Andrew,Miller,kimrebecca@jensen-potter.com,2022-06-21,Madagascar
CUST00009,Krista,Murphy,ndorsey@hotmail.com,2025-05-23,New Zealand
CUST00010,Justin,Logan,durhamdavid@vasquez.info,2024-10-22,Sao Tome and Principe
CUST00011,Amy,Long,richard44@gmail.com,2022-02-21,Belgium
CUST00012,David,Brooks,mathewsjared@daniels-fritz.org,2021-05-15,Taiwan
CUST00013,Monica,Hodge,daviskevin@yahoo.com,2022-03-20,Bangladesh
CUST00014,Jared,Garrett,jamie97@hall-johnson.com,2022-04-01,Saint Barthelemy
CUST00015,Mark,Joseph,davidcunningham@gmail.com,2023-07-17,Kiribati
CUST00016,Sarah,Hickman,clarkbenjamin@gmail.com,2022-02-22,Ukraine
CUST00017,Lance  ,Simmons,valerie31@hotmail.com,2020-10-13,Uzbekistan
CUST00018,Emily  ,Nguyen,michaelgreer@yahoo.com,2021-09-14,Rwanda
CUST00019,Joseph,Murphy,williamsjames@smith.com,2021-08-30,Spain
CUST00020,Tanner,Schultz,oosborne@hotmail.com,2023-02-05,Georgia
CUST00021,Christopher,Quinn,kathleenphillips@gmail.com,2022-10-11,Mexico
CUST00022,James,Giles,jennifercollins@hotmail.com,1972-04-14,Maldives
CUST00023,Kristen,Lewis,kathrynmoore@hotmail.com,2024-04-03,Ireland
CUST00024,Mallory,White,chelseycabrera@nguyen.info,2021-01-11,Tonga
CUST00025,Misty  ,Washington,,2022-01-02,Bahrain
CUST00026,Brooke,Salazar,jenniferrhodes@bowers.com,2025-03-07,Andorra
CUST00027,Nathaniel,Schmidt,imaxwell@phillips.org,2021-11-29,Sierra Leone
CUST00028,Timothy,Young,brianparker@hotmail.com,2024-07-11,British Indian Ocean Territory (Chagos Archipelago)
CUST00029,Christopher  ,Brown,michaelyoung@yahoo.com,2025-07-02,Equatorial Guinea
